mode	error	time/s	<Ewe/V>	
3	0	1.959999950486235E+002	-1.9032692E+000
3	0	1.964999950359925E+002	-1.9035519E+000
3	0	1.969999950233614E+002	-1.9079902E+000
3	0	1.974999950107303E+002	-1.9049782E+000
3	0	1.979999949980993E+002	-1.8816633E+000
3	0	1.984999949854682E+002	-1.8756424E+000
3	0	1.989999949728372E+002	-1.8867098E+000
3	0	1.994999949602061E+002	-1.8864522E+000
3	0	1.999999949475750E+002	-1.8867726E+000
3	0	2.004999949349440E+002	-1.8857248E+000
3	0	2.009999949223129E+002	-1.8826497E+000
3	0	2.014999949096818E+002	-1.8797641E+000
3	0	2.019999948970508E+002	-1.8752925E+000
3	0	2.024999948844197E+002	-1.8733922E+000
3	0	2.029999948717887E+002	-1.8695499E+000
3	0	2.034999948591576E+002	-1.8575221E+000
3	0	2.039999948465265E+002	-1.8482914E+000
3	0	2.044999948338955E+002	-1.8447381E+000
3	0	2.049999948212644E+002	-1.8462334E+000
3	0	2.054999948086333E+002	-1.8506172E+000
3	0	2.059999947960023E+002	-1.8867928E+000
3	0	2.064999947833712E+002	-1.8878653E+000
3	0	2.069999947707402E+002	-1.8853121E+000
3	0	2.074999947581091E+002	-1.8805984E+000
3	0	2.079999947454780E+002	-1.8702438E+000
3	0	2.084999947328470E+002	-1.8550067E+000
3	0	2.089999947202159E+002	-1.8494040E+000
3	0	2.094999947075848E+002	-1.8489292E+000
3	0	2.099999946949538E+002	-1.8491138E+000
3	0	2.104999946823227E+002	-1.8509773E+000
3	0	2.109999946696917E+002	-1.8517302E+000
3	0	2.114999946570606E+002	-1.8497699E+000
3	0	2.119999946444295E+002	-1.8483069E+000
3	0	2.124999946317985E+002	-1.8419706E+000
3	0	2.129999946191674E+002	-1.8357726E+000
3	0	2.134999946065363E+002	-1.8411250E+000
3	0	2.139999945939053E+002	-1.8518639E+000
3	0	2.144999945812742E+002	-1.8544099E+000
3	0	2.149999945686432E+002	-1.8492563E+000
3	0	2.154999945560121E+002	-1.8379509E+000
3	0	2.159999945433810E+002	-1.8251717E+000
3	0	2.164999945307500E+002	-1.8069178E+000
3	0	2.169999945181189E+002	-1.7937776E+000
3	0	2.174999945054878E+002	-1.7922384E+000
3	0	2.179999944928568E+002	-1.8000665E+000
3	0	2.184999944802257E+002	-1.8009373E+000
3	0	2.189999944675947E+002	-1.8057660E+000
3	0	2.194999944549636E+002	-1.8108227E+000
3	0	2.199999944423325E+002	-1.8066885E+000
3	0	2.204999944297015E+002	-1.8056898E+000
3	0	2.209999944170704E+002	-1.8274382E+000
3	0	2.214999944044393E+002	-1.8913723E+000
3	0	2.219999943918083E+002	-1.8831664E+000
3	0	2.224999943791772E+002	-1.8793089E+000
3	0	2.229999943665462E+002	-1.8713592E+000
3	0	2.234999943539151E+002	-1.8665270E+000
3	0	2.239999943412840E+002	-1.8637772E+000
3	0	2.244999943286530E+002	-1.8615304E+000
3	0	2.249999943160219E+002	-1.8604167E+000
3	0	2.254999943033908E+002	-1.8587395E+000
3	0	2.259999942907598E+002	-1.8558450E+000
3	0	2.264999942781287E+002	-1.8559616E+000
3	0	2.269999942654977E+002	-1.8579786E+000
3	0	2.274999942528666E+002	-1.8550688E+000
3	0	2.279999942402355E+002	-1.8377792E+000
3	0	2.284999942276045E+002	-1.8249857E+000
3	0	2.289999942149734E+002	-1.8193142E+000
3	0	2.294999942023424E+002	-1.8194237E+000
3	0	2.299999941897113E+002	-1.8258092E+000
3	0	2.304999941770802E+002	-1.8320481E+000
3	0	2.309999941644492E+002	-1.8323258E+000
3	0	2.314999941518181E+002	-1.8309850E+000
3	0	2.319999941391870E+002	-1.8272411E+000
3	0	2.324999941265560E+002	-1.8258390E+000
3	0	2.329999941139249E+002	-1.8237776E+000
3	0	2.334999941012939E+002	-1.8244385E+000
3	0	2.339999940886628E+002	-1.8222963E+000
3	0	2.344999940760317E+002	-1.8158096E+000
3	0	2.349999940634007E+002	-1.8086535E+000
3	0	2.354999940507696E+002	-1.8002125E+000
3	0	2.359999940381385E+002	-1.7946107E+000
3	0	2.364999940255075E+002	-1.7925582E+000
3	0	2.369999940128764E+002	-1.7906408E+000
3	0	2.374999940002454E+002	-1.7857616E+000
3	0	2.379999939876143E+002	-1.7602299E+000
3	0	2.384999939749832E+002	-1.7432313E+000
3	0	2.389999939623522E+002	-1.7413014E+000
3	0	2.394999939497211E+002	-1.7374606E+000
3	0	2.399999939370900E+002	-1.7338314E+000
3	0	2.404999939244590E+002	-1.7302098E+000
3	0	2.409999939118279E+002	-1.7270095E+000
3	0	2.414999938991969E+002	-1.7236573E+000
3	0	2.419999938865658E+002	-1.7258362E+000
3	0	2.424999938739347E+002	-1.7307545E+000
